Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type,address,GNOCDC_LAB,pop
H-27924-18,4,5XX Seguin,OPEN,43M,SIMPLE RAPE (MALE VICTIM),8/19/2018 10:00,NA,NA,NA,NA,NA,NA,VICTIM,WHITE,MALE,55,1,Non-fatal,NA,Incident Report,"500 Seguin., New Orleans, LA",ALGIERS POINT,12848
J-40295-18,6,30XX 7th St,CLOSED,35,SIMPLE BATTERY,10/31/2018 19:56,14 35,SIMPLE BATTERY,BLACK,MALE,38,1,VICTIM,BLACK,FEMALE,17,1,Non-fatal,NA,Incident Report,"3000 7th St., New Orleans, LA",CENTRAL CITY,35385
G-16430-18,7,60XX Downman Rd 12,OPEN,103D,DISTURBANCE (DOMESTIC),7/13/2018 18:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,65,1,Non-fatal,NA,Incident Report,"6000 Downman Rd 12., New Orleans, LA",PINES VILLAGE,20976
J-39935-18,2,13XX S Genois St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),10/31/2018 15:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,68,1,VICTIM,BLACK,FEMALE,60,1,Non-fatal,NA,Supplemental Report,"1300 S Genois St., New Orleans, LA",GERT TOWN,22081
K-30456-18,6,S Claiborne Av & Toledano St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),11/23/2018 13:00,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,BLACK,FEMALE,65,1,Non-fatal,NA,Incident Report,"S Claiborne Av & Toledano St., New Orleans, LA",MARLYVILLE - FONTAINEBLEAU,20273
D-23083-18,7,Exit 2XX E I-10 E Exit,OPEN,103M,DISTURBANCE (MENTAL),4/19/2018 23:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,39,2,Non-fatal,NA,Incident Report,"Exit 200 E I-10 E Exit., New Orleans, LA",NA,NA
G-00874-18,8,7XX Decatur St,OPEN,21,MISCELLANEOUS INCIDENT,7/1/2018 20:20,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,FEMALE,54,3,Non-fatal,NA,Incident Report,"700 Decatur St., New Orleans, LA",FRENCH QUARTER,15172
F-06460-18,4,9XX Belleville St,OPEN,103D,DISTURBANCE (DOMESTIC),6/6/2018 6:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,NA,NA,NA,1,Non-fatal,NA,Incident Report,"900 Belleville St., New Orleans, LA",McDONOGH,7211
I-17222-18,1,30XX Canal St,OPEN,35,SIMPLE BATTERY,9/14/2018 15:20,54 403,DISTURBING THE PEACE,BLACK,FEMALE,18,7,VICTIM,BLACK,MALE,17,1,Non-fatal,NA,Supplemental Report,"3000 Canal St., New Orleans, LA",MID-CITY,29937
L-02720-18,6,12XX S Saratoga St,OPEN,35,SIMPLE BATTERY,11/25/2018 23:30,14 35,SIMPLE BATTERY,BLACK,FEMALE,NA,1,VICTIM,BLACK,FEMALE,23,1,Non-fatal,NA,Incident Report,"1200 S Saratoga St., New Orleans, LA",CENTRAL CITY,35385
L-16380-18,6,20XX Louisiana Av,OPEN,67F,THEFT BY FRAUD,12/7/2018 12:00,14 67.16,IDENTITY THEFT,NA,NA,NA,1,VICTIM,WHITE,FEMALE,50,1,Non-fatal,NA,Incident Report,"2000 Louisiana Av., New Orleans, LA",MILAN,21588
K-05425-18,3,22XX Lafreniere,OPEN,67,THEFT,11/3/2018 10:00,NA,NA,BLACK,MALE,43,1,INTERVIEW,BLACK,FEMALE,73,1,Non-fatal,NA,Supplemental Report,"2200 Lafreniere., New Orleans, LA",GENTILLY TERRACE,23183
E-18084-18,6,33XX 2nd St,OPEN,67,THEFT,5/14/2018 22:45,NA,NA,NA,NA,NA,1,INTERVIEW,BLACK,MALE,35,2,Non-fatal,NA,Incident Report,"3300 2nd St., New Orleans, LA",CENTRAL CITY,35385
F-02900-18,5,8XX Alvar St,OPEN,103,DISTURBANCE,6/3/2018 9:53,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,FEMALE,87,1,Non-fatal,NA,Incident Report,"800 Alvar St., New Orleans, LA",BYWATER,25185
H-35835-18,2,89XX Edinburgh St,OPEN,79,VIOLATION OF PROTECTIVE ORDERS,8/28/2018 12:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,BLACK,MALE,71,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"8900 Edinburgh St., New Orleans, LA",HOLLYGROVE,11723
H-33994-18,4,27XX Somerset Dr,OPEN,103D,DISTURBANCE (DOMESTIC),8/27/2018 0:35,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,33,2,Non-fatal,NA,Incident Report,"2700 Somerset Dr., New Orleans, LA",OLD AURORA,40130
J-06297-18,5,63XX Chartres St,CLOSED,103,DISTURBANCE,10/5/2018 15:00,NA,NA,BLACK,FEMALE,41,1,INTERVIEW,BLACK,MALE,30,3,Non-fatal,NA,Incident Report,"6300 Chartres St., New Orleans, LA",BYWATER,25185
A-20858-18,7,72XX Chef Menteur G5,OPEN,103,DISTURBANCE,1/18/2018 18:52,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,30,2,Non-fatal,NA,Incident Report,"7200 Chef Menteur G5., New Orleans, LA",VIAVANT - VENETIAN ISLES,26085
K-02789-18,8,3XX N Peters St,CLOSED,103F,DISTURBANCE (FIGHT),11/3/2018 0:48,NA,NA,BLACK,FEMALE,42,5,VICTIM,BLACK,FEMALE,42,5,Non-fatal,NA,Incident Report,"300 N Peters St., New Orleans, LA",FRENCH QUARTER,15172
B-07018-18,6,24XX 1st St,CLOSED,966,DRUG LAW VIOLATION,2/6/2018 10:38,NA,NA,BLACK,FEMALE,21,1,INTERVIEW,BLACK,MALE,24,1,Non-fatal,NA,Incident Report,"2400 1st St., New Orleans, LA",CENTRAL CITY,35385
I-05155-18,4,8XX Hendee Rr,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),9/4/2018 20:30,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,24,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"800 Hendee Rr., New Orleans, LA",WEST RIVERSIDE,15349
I-23739-18,2,22XX Adams St,CLOSED,21M,MISSING ADULT,8/29/2018 15:52,NA,NA,NA,NA,NA,NA,VICTIM,WHITE,FEMALE,23,1,Non-fatal,NA,Supplemental Report,"2200 Adams St., New Orleans, LA",MARLYVILLE - FONTAINEBLEAU,20273
D-06417-18,3,51XX Saint Ferdinand St,OPEN,103D,DISTURBANCE (DOMESTIC),4/6/2018 0:44,14 79,VIOLATIONS OF PROTECTIVE ORDERS,BLACK,MALE,51,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"5100 Saint Ferdinand St., New Orleans, LA",DESIRE AREA,17275
H-16669-18,7,64XX Curran Bd,CLOSED,56,SIMPLE CRIMINAL DAMAGE,8/13/2018 23:21,14 38,SIMPLE ASSAULT,BLACK,FEMALE,26,1,VICTIM,BLACK,MALE,40,2,Non-fatal,NA,Incident Report,"6400 Curran Bd., New Orleans, LA",LITTLE WOODS,44947
F-04047-18,5,32XX Morrice Duncan St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),6/4/2018 9:30,14 34.9,BATTERY OF A DATING PARTNER,BLACK,MALE,43,1,VICTIM,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"3200 Morrice Duncan St., New Orleans, LA",DESIRE AREA,17275
I-11917-18,7,78XX Henley St,OPEN,103,DISTURBANCE,9/10/2018 19:02,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,32,2,Non-fatal,NA,Incident Report,"7800 Henley St., New Orleans, LA",LITTLE WOODS,44947
I-36478-18,7,52XX Wentworth Dr,OPEN,103D,DISTURBANCE (DOMESTIC),9/29/2018 9:16,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,NA,1,Non-fatal,NA,Incident Report,"5200 Wentworth Dr., New Orleans, LA",WEST LAKE FOREST,25071
A-29298-18,3,XX Bluebird St,OPEN,21,MISCELLANEOUS INCIDENT,1/23/2018 18:30,NA,NA,NA,NA,NA,NA,INTERVIEW,WHITE,MALE,NA,3,Non-fatal,NA,Supplemental Report,"00 Bluebird St., New Orleans, LA",LAKESHORE - LAKE VISTA,12956
B-13273-18,8,1XX Royal St,OPEN,67S,SHOPLIFTING,2/11/2018 7:40,NA,NA,BLACK,FEMALE,NA,3,REPORTING PERSON,BLACK,MALE,39,1,Non-fatal,NA,Incident Report,"100 Royal St., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
F-19438-18,4,61XX Tullis Dr H188,OPEN,103D,DISTURBANCE (DOMESTIC),6/16/2018 18:48,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,73,1,Non-fatal,NA,Incident Report,"6100 Tullis Dr H188., New Orleans, LA",TALL TIMBERS - BRECHTEL,35314
A-31398-18,1,15XX Saint Philip St,OPEN,21,MISCELLANEOUS INCIDENT,1/27/2018 11:30,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,69,1,Non-fatal,NA,Incident Report,"1500 Saint Philip St., New Orleans, LA",TREME - LAFITTE,18492
C-08461-18,5,16XX Tennessee St,OPEN,62,SIMPLE BURGLARY,3/7/2018 15:00,NA,NA,NA,NA,NA,1,REPORTING PERSON,BLACK,MALE,36,1,Non-fatal,NA,Incident Report,"1600 Tennessee St., New Orleans, LA",LOWER NINTH WARD,9228
J-28899-18,8,3XX Canal St,OPEN,67S,SHOPLIFTING,10/22/2018 12:30,NA,NA,BLACK,FEMALE,NA,2,REPORTING PERSON,WHITE,FEMALE,52,2,Non-fatal,NA,Incident Report,"300 Canal St., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
B-24564-18,7,70XX Lawrence Rd,OPEN,103D,DISTURBANCE (DOMESTIC),2/20/2018 17:39,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,30,1,Non-fatal,NA,Incident Report,"7000 Lawrence Rd., New Orleans, LA",LITTLE WOODS,44947
L-17980-18,5,N Claiborne Av & Pauger St,CLOSED,103,DISTURBANCE,12/14/2018 12:39,54 403,DISTURBING THE PEACE,WHITE,FEMALE,69,1,VICTIM,WHITE,MALE,64,1,Non-fatal,NA,Incident Report,"N Claiborne Av & Pauger St., New Orleans, LA",ST. CLAUDE,18616
C-13836-18,7,47XX Wright Rd,OPEN,24,MEDICAL,3/12/2018 5:45,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,MALE,69,1,Non-fatal,NA,Incident Report,"4700 Wright Rd., New Orleans, LA",READ BLVD EAST,21863
G-32144-18,5,25XX Annette St,CLOSED,103,DISTURBANCE,7/26/2018 8:20,54 151,CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,26,1,VICTIM,BLACK,FEMALE,21,2,Non-fatal,NA,Incident Report,"2500 Annette St., New Orleans, LA",SEVENTH WARD,23878
C-21782-18,2,20XX Burdette St,CLOSED,59,CRIMINAL MISCHIEF,3/18/2018 8:52,NA,NA,BLACK,MALE,18,1,REPORTING PERSON,WHITE,MALE,45,1,Non-fatal,NA,Incident Report,"2000 Burdette St., New Orleans, LA",MARLYVILLE - FONTAINEBLEAU,20273
E-09689-18,7,59XX Bullard,OPEN,35,SIMPLE BATTERY,5/8/2018 14:55,NA,NA,BLACK,FEMALE,NA,1,WITNESS,ASIAN,MALE,23,3,Non-fatal,NA,Incident Report,"5900 Bullard., New Orleans, LA",READ BLVD EAST,21863
D-08088-18,7,44XX Flite,OPEN,21,MISCELLANEOUS INCIDENT,4/5/2018 23:59,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,51,1,Non-fatal,NA,Incident Report,"4400 Flite., New Orleans, LA",PINES VILLAGE,20976
I-04459-18,4,21XX Westbend Pw,CLOSED,103F,DISTURBANCE (FIGHT),9/4/2018 17:45,NA,NA,BLACK,FEMALE,30,2,VICTIM,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"2100 Westbend Pw., New Orleans, LA",BEHRMAN,25562
D-22878-18,6,23XX 7th St,OPEN,56,SIMPLE CRIMINAL DAMAGE,4/19/2018 14:15,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,NA,NA,NA,1,VICTIM,BLACK,FEMALE,44,1,Non-fatal,NA,Incident Report,"2300 7th St., New Orleans, LA",CENTRAL CITY,35385
I-33165-18,4,Nunez St & Mardi Gras,CLOSED,966,DRUG LAW VIOLATION,9/26/2018 20:36,102 113,DRUG PARAPHERNALIA,BLACK,MALE,30,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Nunez St & Mardi Gras., New Orleans, LA",McDONOGH,7211
I-09266-18,5,15XX Bartholomew St,OPEN,103,DISTURBANCE,9/8/2018 13:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,75,1,Non-fatal,NA,Incident Report,"1500 Bartholomew St., New Orleans, LA",ST. CLAUDE,18616
A-03642-18,5,21XX Mandeville St,OPEN,67AR,AUTO THEFT & RECOVERY,1/3/2018 22:45,NA,NA,BLACK,MALE,NA,1,REPORTING PERSON,BLACK,MALE,35,1,Non-fatal,NA,Incident Report,"2100 Mandeville St., New Orleans, LA",ST. ROCH,32067
D-15891-18,3,21XX Brutus St,OPEN,79,VIOLATION OF PROTECTIVE ORDERS,4/13/2018 21:40,NA,NA,BLACK,MALE,56,1,VICTIM,BLACK,MALE,28,2,Non-fatal,NA,Incident Report,"2100 Brutus St., New Orleans, LA",DILLARD,14753
H-26862-18,5,N Robertson St & Charbonnet St,CLOSED,64G,ARMED ROBBERY (GUN),8/21/2018 15:55,NA,NA,BLACK,MALE,34,1,VICTIM,WHITE,MALE,NA,2,Non-fatal,NA,Supplemental Report,"N Robertson St & Charbonnet St., New Orleans, LA",ST. CLAUDE,18616
B-00376-18,3,41XX Encampment St,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/1/2018 9:14,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,22,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4100 Encampment St., New Orleans, LA",ST. BERNARD AREA,8349
F-02893-18,3,Carnot St & Mandeville St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),6/3/2018 2:30,14 62,SIMPLE BURGLARY,UNKNOWN,NA,NA,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Carnot St & Mandeville St., New Orleans, LA",GENTILLY TERRACE,23183
H-13272-18,5,23XX Painters St,OPEN,67A,AUTO THEFT,8/10/2018 22:45,14 68,UNAUTHORIZED USE OF MOVABLE,NA,NA,NA,6,VICTIM,BLACK,FEMALE,58,1,Non-fatal,NA,Supplemental Report,"2300 Painters St., New Orleans, LA",ST. ROCH,32067
I-02326-18,7,48XX Lynhuber Dr,OPEN,21,MISCELLANEOUS INCIDENT,9/2/2018 22:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,45,1,Non-fatal,NA,Incident Report,"4800 Lynhuber Dr., New Orleans, LA",PINES VILLAGE,20976
A-27654-18,5,25XX N Roman St,OPEN,67A,AUTO THEFT,1/23/2018 18:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"2500 N Roman St., New Orleans, LA",ST. ROCH,32067
D-09495-18,5,N Claiborne Av & Bartholomew St,OPEN,103D,DISTURBANCE (DOMESTIC),4/8/2018 17:50,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,25,2,Non-fatal,NA,Incident Report,"N Claiborne Av & Bartholomew St., New Orleans, LA",ST. CLAUDE,18616
B-29337-18,3,33XX Frenchmen St,CLOSED,67,THEFT,2/24/2018 10:00,NA,NA,BLACK,FEMALE,36,1,WITNESS,BLACK,FEMALE,38,2,Non-fatal,NA,Incident Report,"3300 Frenchmen St., New Orleans, LA",DILLARD,14753
F-03192-18,1,Laharpe St & N Robertson St,OPEN,42,AGGRAVATED RAPE,6/3/2018 1:30,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"Laharpe St & N Robertson St., New Orleans, LA",SEVENTH WARD,23878
F-05780-18,7,77XX Dorsett Dr,OPEN,35D,SIMPLE BATTERY (DOMESTIC),6/5/2018 16:00,14 35,SIMPLE BATTERY,BLACK,MALE,26,1,VICTIM,BLACK,FEMALE,11,2,Non-fatal,NA,Incident Report,"7700 Dorsett Dr., New Orleans, LA",LITTLE WOODS,44947
F-08088-18,4,24XX Sanctuary Dr,OPEN,103D,DISTURBANCE (DOMESTIC),6/7/2018 12:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,26,1,Non-fatal,NA,Incident Report,"2400 Sanctuary Dr., New Orleans, LA",U.S. NAVAL BASE,18304
K-18823-18,1,N Canal St & S Claiborne Av,CLOSED,966,DRUG LAW VIOLATION,11/14/2018 13:10,40 (24) 966,PRINCIPAL TO POSSESSION OF SCHEDULE I CDS,WHITE,FEMALE,37,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"N Canal St & S Claiborne Av., New Orleans, LA",NA,NA
F-07374-18,2,S Carrollton Av & Forshey St,CLOSED,966,DRUG LAW VIOLATION,6/6/2018 21:33,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,BLACK,MALE,28,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"S Carrollton Av & Forshey St., New Orleans, LA",LEONIDAS,21271
G-24925-18,2,44XX S Claiborne Av,OPEN,67S,SHOPLIFTING,7/20/2018 14:45,14 63,CRIMINAL TRESPASS,BLACK,MALE,NA,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4400 S Claiborne Av., New Orleans, LA",FRERET,11419
E-13591-18,8,20XX Burgundy St,OPEN,67,THEFT,4/27/2018 14:00,NA,NA,NA,NA,NA,1,REPORTING PERSON,WHITE,FEMALE,45,1,Non-fatal,NA,Incident Report,"2000 Burgundy St., New Orleans, LA",MARIGNY,11334
K-31366-18,8,N Rampart St & Toulouse St,OPEN,35,SIMPLE BATTERY,11/24/2018 5:20,54 96,BATTERY,BLACK,MALE,NA,1,VICTIM,BLACK,MALE,45,1,Non-fatal,NA,Incident Report,"N Rampart St & Toulouse St., New Orleans, LA",ST. CLAUDE,18616
E-24728-18,1,Toulouse St & N Rampart St,OPEN,103D,DISTURBANCE (DOMESTIC),5/20/2018 2:58,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"Toulouse St & N Rampart St., New Orleans, LA",FRENCH QUARTER,15172
I-24753-18,2,6XX S Carrollton St,CLOSED,103,DISTURBANCE,9/20/2018 8:57,NA,NA,BLACK,MALE,48,1,REPORTING PERSON,WHITE,FEMALE,24,1,Non-fatal,NA,Incident Report,"600 S Carrollton St., New Orleans, LA",LEONIDAS,21271
L-12503-18,1,17XX Saint Ann St,OPEN,103M,DISTURBANCE (MENTAL),12/10/2018 15:22,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,16,1,Non-fatal,NA,Incident Report,"1700 Saint Ann St., New Orleans, LA",TREME - LAFITTE,18492
B-22107-18,2,44XX Danneel St,OPEN,103D,DISTURBANCE (DOMESTIC),2/18/2018 18:30,NA,NA,NA,NA,NA,NA,INTERVIEW,HISPANIC,MALE,38,2,Non-fatal,NA,Incident Report,"4400 Danneel St., New Orleans, LA",UPTOWN,20018
K-40216-18,8,2XX Bourbon St,CLOSED,17F,FUGITIVE ATTACHMENT,11/30/2018 16:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,40,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"200 Bourbon St., New Orleans, LA",FRENCH QUARTER,15172
B-15364-18,5,16XX Elysian Fields Av,OPEN,67A,AUTO THEFT,2/12/2018 22:22,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,0,Non-fatal,NA,Supplemental Report,"1600 Elysian Fields Av., New Orleans, LA",SEVENTH WARD,23878
K-39817-18,4,20XX General Meyer Av,OPEN,103,DISTURBANCE,11/30/2018 9:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,NA,2,Non-fatal,NA,Incident Report,"2000 General Meyer Av., New Orleans, LA",U.S. NAVAL BASE,18304
E-09660-18,3,52XX Canal Bd,OPEN,67S,SHOPLIFTING,5/8/2018 13:30,NA,NA,BLACK,MALE,NA,3,REPORTING PERSON,BLACK,FEMALE,41,2,Non-fatal,NA,Incident Report,"5200 Canal Bd., New Orleans, LA",NAVARRE,13444
B-21776-18,6,38XX 3rd St,CLOSED,103F,DISTURBANCE (FIGHT),2/18/2018 12:20,54 403,DISTURBING THE PEACE,BLACK,MALE,29,1,VICTIM,BLACK,MALE,23,1,Non-fatal,NA,Incident Report,"3800 3rd St., New Orleans, LA",CENTRAL CITY,35385
J-08272-18,8,3XX Bourbon St,OPEN,67F,THEFT BY FRAUD,10/7/2018 3:15,14 67.3,UNAUTHORIZED USE OF ACCESS CARD,BLACK,MALE,NA,2,VICTIM,WHITE,MALE,21,1,Non-fatal,NA,Incident Report,"300 Bourbon St., New Orleans, LA",FRENCH QUARTER,15172
F-21343-18,3,30XX Gentilly Bd,CLOSED,67F,THEFT BY FRAUD,5/26/2018 11:34,54 186,THEFT,WHITE,MALE,21,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"3000 Gentilly Bd., New Orleans, LA",DILLARD,14753
K-21858-18,1,Orleans Av & N Claiborne Av,OPEN,21,MISCELLANEOUS INCIDENT,11/16/2018 13:15,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,51,1,Non-fatal,NA,Incident Report,"Orleans Av & N Claiborne Av., New Orleans, LA",CITY PARK,24140
G-34508-18,8,Saint Joseph St & Tchoupitoulas St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),7/28/2018 0:30,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,BLACK,MALE,25,1,Non-fatal,NA,Supplemental Report,"Saint Joseph St & Tchoupitoulas St., New Orleans, LA",NA,NA
H-15307-18,2,S Broad St & Washington Av,CLOSED,966,DRUG LAW VIOLATION,8/12/2018 23:34,40 969,PROHIBITED ACTS-- SCHEDULE IV DRUGS,BLACK,FEMALE,36,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"S Broad St & Washington Av., New Orleans, LA",NA,NA
F-12228-18,1,23XX Lafitte St,OPEN,103F,DISTURBANCE (FIGHT),6/10/2018 19:30,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,34,7,Non-fatal,NA,Incident Report,"2300 Lafitte St., New Orleans, LA",TREME - LAFITTE,18492
L-07582-18,6,14XX Terpsichore St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),12/2/2018 0:00,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,WHITE,MALE,28,1,Non-fatal,NA,Incident Report,"1400 Terpsichore St., New Orleans, LA",LOWER GARDEN DISTRICT,18708
J-22574-18,4,10XX Horace St,OPEN,21,MISCELLANEOUS INCIDENT,10/18/2018 15:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,62,1,Non-fatal,NA,Incident Report,"1000 Horace St., New Orleans, LA",U.S. NAVAL BASE,18304
I-04153-18,6,29XX S Claiborne,CLOSED,67S,SHOPLIFTING,9/4/2018 12:38,NA,NA,BLACK,MALE,53,1,REPORTING PERSON,BLACK,MALE,NA,1,Non-fatal,NA,Incident Report,"2900 S Claiborne., New Orleans, LA",CENTRAL CITY,35385
C-13507-18,3,2XX N Carrollton Av,OPEN,103D,DISTURBANCE (DOMESTIC),3/11/2018 10:16,NA,NA,NA,NA,NA,NA,INTERVIEW,WHITE,MALE,37,2,Non-fatal,NA,Incident Report,"200 N Carrollton Av., New Orleans, LA",MID-CITY,29937
G-12684-18,2,43XX State Street Dr,OPEN,62C,SIMPLE BURGLARY (VEHICLE),7/10/2018 22:15,NA,NA,NA,NA,NA,1,VICTIM,WHITE,FEMALE,54,1,Non-fatal,NA,Incident Report,"4300 State Street Dr., New Orleans, LA",MARLYVILLE - FONTAINEBLEAU,20273
A-20386-18,6,33XX Saint Charles Av 20,OPEN,21,MISCELLANEOUS INCIDENT,1/18/2018 10:30,NA,NA,NA,NA,NA,NA,REPORTING PERSON,UNKNOWN,MALE,28,1,Non-fatal,NA,Incident Report,"3300 Saint Charles Av 20., New Orleans, LA",TOURO,16244
B-30624-18,8,3XX Royal St,OPEN,21P,LOST PROPERTY,2/25/2018 15:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"300 Royal St., New Orleans, LA",FRENCH QUARTER,15172
B-30439-18,8,9XX Conti St,OPEN,67A,AUTO THEFT,2/25/2018 2:00,14 67.26,THEFT OF A MOTOR VEHICLE,NA,NA,NA,1,VICTIM,WHITE,MALE,43,1,Non-fatal,NA,Incident Report,"900 Conti St., New Orleans, LA",FRENCH QUARTER,15172
K-32783-18,2,2XX Henry Clay Av,OPEN,103D,DISTURBANCE (DOMESTIC),11/25/2018 5:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,28,2,Non-fatal,NA,Incident Report,"200 Henry Clay Av., New Orleans, LA",WEST RIVERSIDE,15349
L-13737-18,4,20XX General Meyer Av,OPEN,81,INDECENT BEHAVIOR WITH A JUVENILE,12/11/2018 13:45,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"2000 General Meyer Av., New Orleans, LA",U.S. NAVAL BASE,18304
B-08398-18,7,74XX Weaver Av,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2/7/2018 19:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,26,1,VICTIM,BLACK,FEMALE,63,1,Non-fatal,NA,Incident Report,"7400 Weaver Av., New Orleans, LA",LITTLE WOODS,44947
F-22892-18,7,55XX Crowder Bd,OPEN,67S,SHOPLIFTING,6/19/2018 15:50,NA,NA,BLACK,FEMALE,NA,1,REPORTING PERSON,BLACK,FEMALE,38,2,Non-fatal,NA,Incident Report,"5500 Crowder Bd., New Orleans, LA",WEST LAKE FOREST,25071
K-08599-18,5,Mazant St & Royal St,CLOSED,17F,FUGITIVE ATTACHMENT,11/7/2018 12:09,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,MALE,44,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Mazant St & Royal St., New Orleans, LA",ST. CLAUDE,18616
K-20692-18,7,46XX Lancelot Dr,OPEN,30S,HOMICIDE (SHOOTING),11/15/2018 18:45,NA,NA,NA,NA,NA,1,VICTIM,BLACK,MALE,33,1,Fatal,NA,Incident Report,"4600 Lancelot Dr., New Orleans, LA",READ BLVD WEST,16788
L-10412-18,5,40XX Royal St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),12/8/2018 20:34,14 62,SIMPLE BURGLARY,BLACK,MALE,NA,1,VICTIM,WHITE,MALE,50,1,Non-fatal,NA,Incident Report,"4000 Royal St., New Orleans, LA",BYWATER,25185
